,"episode","week","Total_hosp","new_hosp","new_deaths","H_term","D_term","Lockdown_term","reward","action","delta","k0","error","initial_stage"
0,0,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,94,0,0,"False","good"
1,0,12,39.1369282837726,41.2883555625434,9.5674481596186,41.2883555625434,9.5674481596186,441.466154464005,-492.321958186167,84,0.7,0.7,"False","good"
2,0,14,29.878485825858,18.1318042897313,6.01960699337632,18.1318042897313,6.01960699337632,283.747164558338,-307.898575841446,88,0.8,0,"False","good"
3,0,16,17.9014703176688,5.89222903348597,3.3538285154608,5.89222903348597,3.3538285154608,478.250292837577,-487.496350386524,64,0.5,0.9,"False","good"
4,0,18,9.27861435650793,0.839304841686378,0.770483251271941,0.839304841686378,0.770483251271941,346.532590419552,-348.14237851251,3,0,0.3,"False","good"
5,0,20,5.41411434663664,1.27084564190372,0.271401417395021,1.27084564190372,0.271401417395021,325.935746133594,-327.477993192892,35,0.3,0.2,"False","good"
6,1,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,87,0,0,"False","good"
7,1,12,45.4146136959857,51.1545661718806,10.6262096781818,51.1545661718806,10.6262096781818,355.106772927319,-416.887548777381,113,1,0.3,"False","good"
8,1,14,30.9271038238469,15.9501966017341,8.17060937944028,15.9501966017341,8.17060937944028,418.801172239853,-442.921978221027,61,0.5,0.6,"False","good"
9,1,16,16.2640784488163,2.23525514091435,2.2840489723266,2.23525514091435,2.2840489723266,491.892243553292,-496.411547666533,21,0.1,1,"False","good"
10,1,18,8.32802642431103,0.427581338214913,0.401360845220334,0.427581338214913,0.401360845220334,325,-325.828942183435,24,0.2,0.2,"False","good"
11,1,20,4.36494395101556,0.29791662491386,0.122684795265658,0.29791662491386,0.122684795265658,499.541109274362,-499.961710694541,120,1,1,"False","good"
12,2,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,13,0,0,"False","med"
13,2,12,119124.566726956,144290.376309169,26685.294102681,721451.881545844,26685.294102681,225.603624292003,-748362.779272817,81,0.7,0.4,"False","med"
14,2,14,89812.654628688,55006.5194800795,21599.0432642728,275032.597400397,21599.0432642728,182.623396505332,-296814.264061175,56,0.5,0.1,"False","med"
15,2,16,53123.0723580509,16241.5676074888,9138.14591988138,81207.8380374439,9138.14591988138,275.765651993615,-90621.7496093189,63,0.5,0.8,"False","med"
16,2,18,27272.1305297172,1887.97553476123,2171.5458683547,9439.87767380614,2171.5458683547,221.503029732087,-11832.9265718929,106,0.9,0.7,"False","med"
17,2,20,13774.3872731521,230.63048762487,391.376381665329,1153.15243812435,391.376381665329,329.697132121079,-1874.22595191076,120,1,1,"False","med"
18,3,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,61,0,0,"False","bad"
19,3,12,165728.400375752,18228.6321832836,21270.8493422017,91143.1609164178,21270.8493422017,250.737752586848,-112664.748011206,50,0.4,0.6,"False","bad"
20,3,14,83488.2842524826,1822.4475617792,3577.22999121256,9112.23780889602,3577.22999121256,126.732621958376,-12816.200422067,69,0.6,0.3,"False","bad"
21,3,16,42096.6109609025,228.741581971127,546.836615671797,1143.70790985563,546.836615671797,263.619350797367,-1954.1638763248,93,0.8,0.5,"False","bad"
22,3,18,21241.3579149604,18.5801977003735,77.9583072370324,92.9009885018676,77.9583072370324,324.594854938214,-495.454150677114,53,0.4,0.9,"False","bad"
23,3,20,10724.964584746,1.3604520628266,9.91976808430102,6.80226031413302,9.91976808430102,238.173207056892,-254.895235455326,47,0.4,0.3,"False","bad"
24,4,10,28.5239789247833,50.8487120011643,7.29137387950124,50.8487120011643,7.29137387950124,276.612364072422,-334.752449953087,3,0,0,"False","good"
25,4,12,44.3184444991323,49.6624045044976,10.1623311983435,49.6624045044976,10.1623311983435,397.790928873909,-457.61566457675,71,0.6,0.5,"False","good"
26,4,14,31.7128495507599,17.4082946740223,7.51645180983644,17.4082946740223,7.51645180983644,474.548565855253,-499.473312339111,20,0.1,0.9,"False","good"
27,4,16,17.7765628902819,3.87068669566111,2.17309188408182,3.87068669566111,2.17309188408182,351.159634188574,-357.203412768317,58,0.5,0.3,"False","good"
28,4,18,9.98337501256223,1.91585321112813,0.831042181524013,1.91585321112813,0.831042181524013,455.907693007034,-458.654588399686,19,0.1,0.8,"False","good"
29,4,20,5.42693094857788,0.750896885961384,0.277178057823826,0.750896885961384,0.277178057823826,325,-326.028074943785,24,0.2,0.2,"False","good"
30,5,10,59033.9509196679,94349.8400341852,8639.44316550928,471749.200170926,8639.44316550928,165.967418443453,-480554.610754879,86,0,0,"False","med"
31,5,12,158717.578653342,211020.460064881,29666.6021891853,1055102.30032441,29666.6021891853,166.522608515472,-1084935.42512211,11,0.1,0,"False","med"
32,5,14,166052.62569611,145657.958668248,41223.6711820467,728289.793341242,41223.6711820467,261.075374438597,-769774.539897727,7,0,0.7,"False","med"
33,5,16,103544.889202107,39067.3414883734,18311.4894480805,195336.707441867,18311.4894480805,168.200693947803,-213816.397583895,44,0.4,0,"False","med"
34,5,18,58477.7351844558,12861.1641576531,7186.57086790836,64305.8207882655,7186.57086790836,288.454829732683,-71780.8464859066,97,0.8,0.9,"False","med"
35,5,20,29730.6710110165,1222.92652277869,1607.26184552397,6114.63261389347,1607.26184552397,198.895464436954,-7920.7899238544,71,0.6,0.5,"False","med"
36,6,10,319914.281494343,164084.325638713,88531.5262166299,820421.628193563,88531.5262166299,165.967418443453,-909119.121828636,101,0,0,"False","bad"
37,6,12,168007.456378352,21807.2709850729,21545.364410507,109036.354925364,21545.364410507,165.967418443453,-130747.686754315,0,0,0,"False","bad"
38,6,14,86272.4279456213,4602.6260431624,4426.69958377896,23013.130215812,4426.69958377896,101.863042009955,-27541.6928416009,77,0.7,0,"False","bad"
39,6,16,43547.7977637643,476.557361882789,876.452925989741,2382.78680941394,876.452925989741,329.697132121079,-3588.93686752476,120,1,1,"False","bad"
40,6,18,21952.9433863315,15.1465877300214,120.944004102501,75.7329386501071,120.944004102501,278.063893111453,-474.740835864061,94,0.8,0.6,"False","bad"
